CountryName,Year,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Unemployment,Labour force participation rate,"Balance of payments, current account",CPI: Consumer Price Index
Dominica,2010,494,0.7,6 967.3,13.7,14,72.2,NA,NA,-80,100
Dominica,2015,541,-2.7,7 596.4,16.5,14.7,68.8,NA,NA,-41,102
Dominica,2021,582b,3.6b,8 110.5b,16b,18.8b,65.2b,NA,NA,-225d,105b
Dominican Republic,2010,53 160,8.3,5 483.1,6.5,29.9,63.6,5.2,42.4 / 73.8,- 4 024,100
Dominican Republic,2015,71 155,6.9,6 920.6,5.9,30.6,63.5,7.6,49.6 / 78.0,- 1 280,122
Dominican Republic,2021,88 941b,5.1b,8 282.1b,5.6b,31.4b,63b,5.9d,51.6 / 77.4d,- 1 541d,141d
Ecuador,2010,69 555,3.5,4 633.6,10.2,36.3,53.5,4.1,49.9 / 80.5,- 1 582,100
Ecuador,2015,99 290,0.1,6 124.5,10.2,34.4,55.4,3.6,52.1 / 81.0,- 2 221,121
Ecuador,2021,107 436b,0.1b,6 183.8b,9.7b,34.7b,55.7b,4.2c,55.3 / 81.0c,2 474c,124c
Egypt,2010,214 630,5.1,2 593.4,14,37.5,48.5,8.8,22.6 / 75.6,- 4 504,100
Egypt,2015,317 745,4.4,3 437.2,11.3,36.2,52.5,13,22.4 / 73.3,- 17 243,157
Egypt,2021,317 359b,5.6b,3 161.3b,11.4b,36.7b,51.9b,10.1d,22.1 / 70.9d,- 14 236d,"303h,d"
El Salvador,2010,18 448,1.4,2 983.2,7.6,27.5,64.8,4.9,46.0 / 76.6,-533,100
El Salvador,2015,23 438,2.4,3 705.6,6.1,27.8,66.1,4,45.2 / 75.3,-754,108
El Salvador,2021,27 023c,2.4c,4 187.2c,5.6c,28.3c,66.1c,4.2j,45.5 / 75.8j,121j,111j
Equatorial Guinea,2010,16 299,-8.9,17 272.0,1.1,74.3,24.6,6.7,54.0 / 67.7,NA,100g
Equatorial Guinea,2015,13 176,-9.1,11 274.9,1.9,59,39.1,6.6,54.9 / 67.8,NA,119
Equatorial Guinea,2021,11 025b,-5.6b,8 130.4b,2.5b,50.6b,46.9b,6.5e,55.0 / 67.5e,NA,130e
Eritrea,2010,1 590,10.9,501.4,19.1,30.9,50,5.4,71.4 / 83.0,NA,NA
Eritrea,2015,2 013,-20.6,602.2,17.2,31.2,51.6,5.3,71.6 / 86.1,NA,NA
Eritrea,2021,1 982b,3.8b,566.7b,17.3b,31.3b,51.4b,5.2c,71.4 / 85.3c,NA,NA
Estonia,2010,19 694,2.7,14 783.9,3.6,27.6,68.8,16.7,55.0 / 67.1,340,100
Estonia,2015,23 049,1.8,17 523.3,3.3,27.3,69.4,6.2,56.0 / 69.5,403,111
Estonia,2021,31 471b,5b,23 740.2b,2.9b,25.3b,71.8b,5.4c,56.8 / 70.7c,-244c,122c
Eswatini,2010,4 439,3.8,4 168.5,10.4,38.7,50.9,26.9,45.5 / 57.4,-388,100
Eswatini,2015,4 073,2.3,3 689.5,9.8,37.4,52.8,23.5,47.0 / 56.4,533,135
Eswatini,2021,4 594b,1.1b,4 001.6b,9.1b,35.4b,55.4b,22e,48.6 / 56.9e,255e,167b
Ethiopia,2010,26 311,12.6,300.2,45.3,10.4,44.3,2.3,73.8 / 88.9,-635,100
Ethiopia,2015,63 079,10.4,625.6,38.8,17.5,43.7,2.2,73.3 / 87.0,- 7 567,205
Ethiopia,2021,92 750b,8.3b,827.5b,35.5b,25.9b,38.6b,2.1c,73.6 / 85.8c,- 2 719c,384c
Falkland Islands (Malvinas),2010,NA,NA,NA,NA,NA,NA,NA,... / ...,NA,NA
Falkland Islands (Malvinas),2015,NA,NA,NA,NA,NA,NA,"1.2f,g","77.2 / 86.0f,h,g",NA,NA
Falkland Islands (Malvinas),2021,NA,NA,NA,NA,NA,NA,NA,... / ...,NA,NA
Faroe Islands,2010,NA,NA,NA,NA,NA,NA,6.4i,"77.5 / 85.3h,j",144,NA
Faroe Islands,2015,NA,NA,NA,NA,NA,NA,4k,"79.4 / 86.0h,j,k",194m,NA
Faroe Islands,2021,NA,NA,NA,NA,NA,NA,NA,... / ...,NA,NA
Fiji,2010,3 141,3,3 652.5,10.2,19.9,69.9,4.3,43.1 / 79.2,-149,100
Fiji,2015,4 682,4.7,5 390.6,10,19.3,70.6,4.4,40.1 / 77.0,-164,116
Fiji,2021,5 504b,0.5b,6 185.1b,13.2b,19.6b,67.2b,4.1d,38.6 / 76.2d,-602d,129d
Finland,2010,249 181,3.2,46 438.9,2.8,29.9,67.3,8.4,56.0 / 63.9,2 792,100k
Finland,2015,234 440,0.5,42 772.3,2.6,27,70.4,9.4,55.5 / 62.3,- 2 209,109k
Finland,2021,269 296d,1.1d,48 678.4d,2.7d,28d,69.4d,6.7e,55.3 / 62.5e,2 342e,113e
France,2010,2 642 610,1.9,40 685.3,1.8,19.8,78.4,8.9,50.8 / 61.9,- 22 031,100
France,2015,2 438 208,1.1,36 611.8,1.8,19.8,78.5,10.4,50.8 / 60.6,- 9 130,106
France,2021,2 715 518b,1.5b,40 318.8b,1.8b,19.3b,78.9b,8.3c,50.6 / 59.6c,- 48 911c,111c
French Guiana,2010,NA,NA,NA,NA,NA,NA,21,43.2 / 54.9f,NA,100
